complaint,aliases,clinical_terms,condition,lang,source
cough,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
not eating,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
won't eat,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
worm,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
Ear Infections,ear infections,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
ear infection,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
scratching,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
scratches,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
hair loss,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
ear discharge,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
shaking its head,,otitis | infection | inflammation | paralysis | ataxia | abscess | trauma | fever | lethargy | anorexia,Ear Infections,en,huggingface:karenwky/pet-health-symptoms-dataset
Mobility Problems,mobility problems,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
limp,,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
limping,,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
lameness,,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
scratching,,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
not eating,,lameness | dysplasia | paresis | ataxia | fracture | fever | arthritis | infection | inflammation | lethargy | tick | paralysis,Mobility Problems,en,huggingface:karenwky/pet-health-symptoms-dataset
Parasites,parasites,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
fleas,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
flea,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
scratching,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
itchy,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
diarrhea,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
worms,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
worm,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
hair loss,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
itching,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
shaking its head,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
coughing,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
vomit,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
cough,,flea | parasite | tick | infection | giardia | coccidia | mange | pruritus | hookworm | mite | anemia | roundworm,Parasites,en,huggingface:karenwky/pet-health-symptoms-dataset
Skin Irritations,skin irritations,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
hair loss,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
scratching,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
itchy,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
itching,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
flea,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
scratches,,dermatitis | alopecia | pruritus | pyoderma | infection | flea | trauma | inflammation | mange | otitis,Skin Irritations,en,huggingface:karenwky/pet-health-symptoms-dataset
fever,,fever | diarrhea | coughing | weight loss | depression | lethargy | loss of appetite | pain | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
weight loss,,weight loss | diarrhea | fever | vomiting | coughing | pain | anorexia | loss of appetite | lethargy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
diarrhea,,diarrhea | fever | weight loss | vomiting | coughing | pain | dehydration | lethargy | loss of appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
vomiting,,vomiting | diarrhea | weight loss | fever | dehydration | anorexia | pain | lethargy | loss of appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no redness,,no redness | normal eating | no swelling | no pain | normal walking | normal grooming | normal drinking | normal coat | normal play,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lethargy,,lethargy | fever | coughing | diarrhea | weight loss | sneezing | vomiting | anorexia | nasal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no swelling,,no swelling | normal eating | no redness | normal walking | normal movement | normal appetite | normal coat | minor skin irritation | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
coughing,,coughing | fever | weight loss | diarrhea | lethargy | sneezing | dyspnea | anorexia | difficulty in breathing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal eating,,normal eating | no redness | no swelling | normal drinking | no pain | normal movement | normal grooming | no discharge | normal play,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no pain,,no pain | normal eating | no redness | normal drinking | normal play | no aggression | normal appetite | normal sleep | minor change in behavior,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal appetite,,normal appetite | no swelling | no redness | normal sleep | no aggression | minor change in behavior | no pain | minor skin irritation | normal coat,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal play,,normal play | normal eating | no redness | no pain | minor swelling at vaccination site | no discharge | minor sneezing | normal grooming | normal urination,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
loss of  appetite,,loss of  appetite | weight loss | fever | lameness | coughing | vomiting | short term lethargy | rapid heart rate | week pulse,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
pain,,pain | fever | diarrhea | weight loss | vomiting | lethargy | swelling | pneumonia | nasal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal drinking,,normal drinking | normal eating | no redness | no pain | minor change in eating habits | no vomiting | no diarrhea | normal weight | no fever,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal grooming,,normal grooming | normal eating | no redness | normal drinking | seasonal shedding | minor dandruff | no itching | normal coat | normal activity,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal coat,,normal coat | no redness | normal eating | no swelling | normal appetite | no pain | minor skin irritation | normal grooming | minor dandruff,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
anorexia,,anorexia | fever | weight loss | coughing | vomiting | diarrhea | lethargy | depression | dyspnea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
poor appetite,,poor appetite | fever | diarrhea | weight loss | ulcers | tarry stool | enlarged lymph nodes | chronic eye inflamation | lethargy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
pains,,pains | death | fever | fetopelvic dispropotion | uteria inertia | malpresentation | loss of appetite | depression | stop eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lameness,,lameness | fever | weight loss | swelling | loss of appetite | loss of  appetite | pains | change their normal behaviour | swelling of joints,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
sneezing,,sneezing | coughing | fever | lethargy | nasal discharge | difficulty in breathing | dyspnea | weight loss | difficulty breathing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swelling,,swelling | lameness | weight loss | fever | pain | death | anorexia | loss of appetite | nasal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
dehydration,,dehydration | diarrhea | vomiting | fever | weight loss | lethargy | poor coat apperence | watering | no appp,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
hair loss,,hair loss | dandruff | crusting of the skin | ulcerated skin | darkened skin | lession on cat skin | dandruff in cat coat | red patches | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
depression,,depression | fever | loss of appetite | coughing | weight loss | pains | nasal discharge | anorexia | rapid pulse and heart rates,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no discharge,,no discharge | normal eating | normal vision | minor eye watering | wind exposure | minor sneezing | normal play | normal movement | normal appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal walking,,normal walking | no swelling | no redness | normal eating | slight limp after running | normal running | minor limp after exercise | minor limp after running | slight limp after swimming,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nasal discharge,,nasal discharge | fever | coughing | sneezing | painfull | lethargy | depression | swelling on leg | broken bones,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor dandruff,,minor dandruff | no itching | no redness | normal eating | normal grooming | normal activity | normal coat | normal fur | normal feathers,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal sleep,,normal sleep | normal appetite | no aggression | minor change in behavior | no pain | normal movement | minor sneezing | no fever | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
jaundice,,jaundice | lethargy | pneumonia | lession on the skin | pain | vomitting | difficulty in breathing | seizuers | pale gums,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal running,,normal running | no swelling | no redness | normal walking | minor limp after exercise | minor limp after play,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
difficulty breathing,,difficulty breathing | fever | coughing | lethargy | sneezing | thrist and urination | weight loss | enlarged lymph nodes or swelling | eye and skin change,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
mild sneezing,,mild sneezing | seasonal hair loss | itchy skin | minor dandruff | occasional paw licking | fever | coughing | nasal | ocular discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
loss of appetite,,loss of appetite | fever | depression | weight loss | diarrhea | weakness | vomiting | pains | lameness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no itching,,no itching | minor dandruff | no redness | normal eating | normal grooming | normal activity | normal coat | normal fur | normal feathers,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no fever,,no fever | normal drinking | clear nasal discharge | normal eating | normal grooming | minor sneezing | normal preening | normal movement | normal sleep,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
clear nasal discharge,,clear nasal discharge | normal eating | no fever | normal drinking | normal grooming | normal appetite | normal preening | minor ear wax build-up | occasional head shaking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor change in eating habits,,minor change in eating habits | no vomiting | no diarrhea | normal weight | normal drinking | normal water intake,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal weight,,normal weight | minor change in eating habits | no vomiting | no diarrhea | normal drinking | normal water intake,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no vomiting,,no vomiting | minor change in eating habits | no diarrhea | normal weight | normal drinking | normal water intake,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no diarrhea,,no diarrhea | minor change in eating habits | no vomiting | normal weight | normal drinking | normal water intake,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no aggression,,no aggression | normal appetite | normal sleep | minor change in behavior | no pain | normal movement | minor reluctance to move,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor change in behavior,,minor change in behavior | no aggression | normal appetite | normal sleep | no pain | normal movement,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
difficulty in breathing,,difficulty in breathing | coughing | fever | sneezing | lethargy | neurologic abnormalities | dyspnea | loss of eat | swelling,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor sneezing,,minor sneezing | normal eating | no discharge | normal play | no fever | no cough | normal drinking | normal movement | normal sleep,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor skin irritation,,minor skin irritation | no swelling | no redness | normal appetite | normal coat | temporary limp after running | quick recovery | normal temperature | normal fur,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor swelling at vaccination site,,minor swelling at vaccination site | no pain | no redness | normal eating | normal play | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor skin dryness,,minor skin dryness | no redness | normal eating | no irritation | normal coat shine | normal grooming | normal drinking | normal fur | normal shell,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no cough,,no cough | normal eating | minor sneezing | no discharge | frequent gentle sneezing | no fever | clear eyes | active | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal urination,,normal urination | normal eating | normal play | no blood | no pain | occasional soft stool | minor change in elimination | normal grooming | normal energy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor skin scaly patch,,minor skin scaly patch | no pain | no open wound | normal coat | no swelling | frequent scratching | normal drinking | normal grooming | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no lameness,,no lameness | normal appetite | normal drinking | minor reluctance to move | no swelling | minor eye watering | frequent chewing | normal gait | normal urination,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor reluctance to move,,minor reluctance to move | normal appetite | no lameness | no swelling | normal drinking | no aggression | no pain | normal sleep,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor watery eyes,,minor watery eyes | no redness | no swelling | normal eating | clear nasal discharge | normal appetite | no discharge | normal play | normal vision,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor limp after exercise,,minor limp after exercise | no swelling | no redness | normal walking | normal running,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor crusty eyelashes,,minor crusty eyelashes | no matting | no inflammation | normal playfulness | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal playfulness,,normal playfulness | minor crusty eyelashes | no matting | no inflammation | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no inflammation,,no inflammation | minor crusty eyelashes | no matting | normal playfulness | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no matting,,no matting | minor crusty eyelashes | no inflammation | normal playfulness | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
seizuers,,seizuers | fever | respiratory distress | hyperesthesia | sudden death | jaundice | difficulty in breathing | lethargy | pale gums,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor swelling after grooming,,minor swelling after grooming | no redness | no pain | normal coat | normal eating | normal play,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
neurologic abnormalities,,neurologic abnormalities | difficulty in breathing | fever | chronic eye inflamation | lethargy | poor appetite | loss of eat | swelling | lameness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal coat shine,,normal coat shine | minor skin dryness | no irritation | no redness | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no irritation,,no irritation | minor skin dryness | no redness | normal coat shine | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no blood,,no blood | no pain | normal urination | minor change in elimination | normal eating | normal energy | minor change in litter box use | normal play,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
limping,,limping | fever | inflammed eye | depression | coughing | willnot run to jump | swelling | week legs | pain on leg,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
upset stomach,,upset stomach | diarrhea | weight loss | vomiting | muscle pain | muscle stiffness | coughing | anaemia | loss of appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
vomitting,,vomitting | fever | weight loss | diarrhea | poor appetite | jaundice | pneumonia | lession on the skin | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
scabs,,"scabs | ulcers | lesions | lumps | bumps(black,grey or red) | scaly patches of skin | sore | scartch | hair loss",KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor bad breath,,minor bad breath | no swelling | normal eating | no tartar | normal grooming | minor tartar | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
skin issue,,skin issue | loss of eat | fell unwell | lethargy | weight loss | lession on cat skin | dandruff in cat coat | red patches | hair loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
ulcers,,"ulcers | diarrhea | tarry stool | enlarged lymph nodes | poor appetite | lesions | scabs | lumps | bumps(black,grey or red)",KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
loss of eat,,loss of eat | difficulty in breathing | swelling | lameness | neurologic abnormalities | fell unwell | lethargy | weight loss | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
hairballs,,hairballs | frequent grooming | no weight loss | normal appetite | mild conjunctivitis | occasional sneezing | mild dental tartar | mild gingivitis | occasional vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
scartch,,scartch | tenderness | erythema | swelling | pain | scaly patches of skin | sore | scabs | hair loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lesions on nose,,lesions on nose | lesions in the nasal cavity | noisy breathing | nose bleeds | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
mild conjunctivitis,,mild conjunctivitis | mild sneezing | mild limping | mild hair loss | mild dandruff | occasional sneezing | hairballs | mild dental tartar | mild gingivitis,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor skin redness,,minor skin redness | insect bite | no swelling | normal eating | normal fur | normal feathers | normal coat | minor tartar buildup | frequent yawning,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no weight loss,,no weight loss | normal drinking | minor decrease in appetite | hot weather | normal grooming | normal preening | frequent grooming | normal appetite | hairballs,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
clear eyes,,clear eyes | normal eating | normal movement | no lesions | normal appetite | frequent gentle sneezing | no cough | no fever | active,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
blindness,,blindness | pains | straining | diarrhea | vomiting | weight loss | lethargy | circling | fever,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
sudden death,,sudden death | high temperature | trembling | fever | difficulty breating | respiratory distress | hyperesthesia | seizuers | depression,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
anemia,,anemia | weight loss | diarrhea | coughing | blood stool | emaciation | edema in lower jaw | weakness | fever,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
active,,active | normal eating | frequent gentle sneezing | no cough | no fever | clear eyes | minor hair thinning | no redness | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor hair loss,,minor hair loss | normal grooming | no redness | normal eating | seasonal shedding | no swelling | normal sleep | mild nasal discharge | mild dandruff,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no bleeding,,no bleeding | normal eating | normal drinking | normal movement | minor gingivitis | no swelling | minor shell scratching | clear eyes | normal appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nausea,,nausea | vomiting | diarrhea | loss of appetite | firm | distended stomach | fever | sickness | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
seizures,,seizures | fever | hydrophobia | jaw is dropped | shyness or aggression | coughing | dullness | lacrimation | diarrhea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
convulsion,,convulsion | loss of consciousness | chewing | twitching | salivating | fever | sudden death | weight loss | distress,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
respiratory distress,,respiratory distress | fever | hyperesthesia | sudden death | seizuers | nasal discharge | pox lesion | pain | mucous discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no open wound,,no open wound | minor skin scaly patch | no pain | normal coat | normal grooming | normal eating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
tiredness,,tiredness | fever | diarrhea | coughing | pains | muscle aches | headache | skin rashes | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
pneumonia,,pneumonia | pain | jaundice | lession on the skin | vomitting | fever | rhinitis | abscessess | torticollis,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
change their normal behaviour,,change their normal behaviour | stop eating | stop drinking | pains | lameness | eye discharges | nasal discharge | high body temperature | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
congestion,,congestion | fever | depression | eye ulcer | pink eye | pneumonia | lethargy | nasal discharge | apathy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
wheezing,,wheezing | rapid breathing | coughing | swallowing | effort to breath | bubbles in the mouth | loss of appetite | lethargy | nasal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
loss of appettite,,loss of appettite | runny nose | strong cough | lethargy | sneezing | difficulty in breathing | coughing | weakness | fever,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
facial swelling,,facial swelling | bloody drool | unable to eat | lossened teeth | foul breath | egg production decreases | stunted growth | blindness | distinctive bumps,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
abdominal pain,,abdominal pain | diarrhea | fever | stiffness | severe weekness and depression | haemorrhage | straw colored | death | carcass decomposes,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
stop drinking,,stop drinking | stop eating | change their normal behaviour | pains | lameness | weight loss | depression | diarrhea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
stop eating,,stop eating | stop drinking | change their normal behaviour | pains | lameness | weight loss | depression | diarrhea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
stiffness,,stiffness | fever | diarrhea | severe weekness and depression | abdominal pain | weakness | trembling | white mark on the muscle | loss of vitamin e,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
painfull,,painfull | nasal discharge | swelling on leg | broken bones | coughing | fever | difficulty in breathing | eye become dull | mortality,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
